,count,hate_speech,offensive_language,neither,class,tweet
522,3,0,2,1,1,"""""""It's the dykes"""" -hunter dyke with a dyke http://t.co/LGtw3AWMeh"""
21965,3,0,1,2,2,The Pirates have made the playoffs and the Yankees are out...hell has frozen over
5576,3,0,3,0,1,@_noWashington he liked that hoe
24341,3,1,2,0,1,fuk you u stupid twat fuk upd dik suker and wipe that cum off ur lip
4025,3,3,0,0,0,@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.
11695,6,0,6,0,1,I'm such a bitch sometimes lol
8127,3,0,3,0,1,Bad bitch pussy aquafina call her Crystalina
15840,3,1,2,0,1,RT @HiImAnAsshole: &#8220;@Victoria_Finae: Chief keef is trash.&#8221;I'm glad someone said it
9051,3,0,3,0,1,Don't let the power of the dollar turn you into a hoe.
3593,3,1,2,0,1,@Im_Thirst Shin's a faggot. I'm glad your chipped him.
16018,3,0,0,3,2,RT @InduZtriouZ_Neo: I am a strong believer that birds of a feather flock together
8465,3,0,3,0,1,Bussy RT @MrTriskaideka: Is that avi pussy poppin on a handstand??
19512,3,0,3,0,1,RT @heyitskitten: I'm honestly surprised some of u guys have ever seen a pussy
21262,9,0,9,0,1,Shoutout that real bitch
9773,3,0,3,0,1,Goodmorning bitches #ladykimora #sandiego @ Water front San Diego http://t.co/QMuIEPcLJC
12001,3,0,3,0,1,Ihate them mad bitches where the glad ones at?
11969,3,0,3,0,1,If you take a long time to text back you a hoe
3278,3,0,3,0,1,@FredRPVasquez damn he was my bitch for Eddie Johnson teams last year
2807,3,0,3,0,1,@CallME__Jetson hoe ass nigga. &#128529;
23098,3,0,3,0,1,What the FUCK? THO? REALLY? The Entire FUCKING #World #MEDIA is has gone #Obama #retarded not to know #medical #science PROTOCOLS? #wuh?
1767,3,0,3,0,1,&#8220;@connycarvajal_: Why u can't just love?&#8221; Because we don't love these hoes
13446,3,0,1,2,2,My nips are cold &#128563;
23905,3,0,3,0,1,You selfish bitch... I bet you love running.. I sure do.
10316,3,0,3,0,1,I be joked out at half the broads on here that brag about how good they pussy/head game is...
22737,3,0,3,0,1,Trust a bitch I can't wife a bitch I can't
8342,3,1,2,0,1,Blood this nigga Dion retarded
9195,3,0,0,3,2,Enjoy 50% off @GreenFestival #DC tickets with our code and check us out at booth #640! Vegan brownies samples &amp; more! http://t.co/scDZnDk2Aq
24231,6,1,5,0,1,damn bitch lmao
9833,3,0,0,3,2,Great lead battle and then Ricky hits Danica for a yellow. Oh boy. #NASCAR
11467,3,0,3,0,1,I'll quit being a bitch when you quit being a fake friend. &#128077;&#9996;&#65039;
347,3,0,3,0,1,"""""""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG"""""
25294,3,0,3,0,1,young buck wanna eat!!.. dat nigguh like I aint fuckin dis up again
16343,3,0,0,3,2,RT @KeithOlbermann: @MarkDBrown0824 you mean like the Yankees did this year when they prioritized a farewell tour over a playoff run?
8582,3,0,3,0,1,Can't stand a bitch that always feels the need to be doing somethin. Sit your ass at home and be bored you ain't gotta be a hoe all the time
3436,3,0,0,3,2,@HaseenaBakhtali @steen020 @madraq Altyd zo geweest hoe vaak men ook zegt:dit nooit meer!LozeWoorden.PuntjeBijPaaltje vertonen z dierngedrag
6990,3,0,1,2,2,"""@oliviagobert lmao yes I kind of like it it's not that ghetto yet &amp; they are and then he says """"u feel me"""" &#128525;&#128525;&#128557;&#128166;"""
25092,3,0,3,0,1,this one bitch dont feel the same no more an henny dont really kill the pain no moree
1165,3,0,2,1,1,"""&#8220;@BigMamaaTee: There's a difference between being actually crazy &amp; aspiring crazy&#8221; real shit . I can't stand """"fake crazy"""" bitches"""
14107,3,1,2,0,1,Paula Patton pussy got a nigga on stage on his knees talmbout he gotta get her back tonight
8294,3,0,3,0,1,Bitches be like niggas ain't shit ... Naw bitch maybe you just ain't shit
7523,3,1,2,0,1,@woohdakidd_74 lol mane shut dat bitch shit up youn fucc wit me
2499,3,0,0,3,2,@Andyheybro the distant chugs at the end of Dried Up... remain to be some of the most perfectly heavy guitars ever recorded.
2122,3,0,3,0,1,' Ma niggah Alsina be doin his thang . http://t.co/IZA7Lil1Oz
6123,3,0,3,0,1,@fabbymichelle bitch no &#9995;&#128514;
15789,3,0,3,0,1,RT @HOOLIGANS_ISSUE: @Aj_Swagggg those rich son's of bitches too gready. Smh
1253,3,0,3,0,1,&#8220;@Ditto_Guwop: All these hoes been passed around to a Cleveland niggah&#8221;
19560,3,0,3,0,1,RT @iBYEpassDesHOES: Why do hoes always want to come bacc when they didn't have to leave in the first place?
23534,3,0,3,0,1,Y'all trying to use The Lord to sell pussy on this corner... I already know!
21031,3,0,3,0,1,S/o to the homie @BlakkHoodie_562 niggah stay making bomb food when we high af
783,3,0,2,1,1,#Shoutout to my #Exit47 niccas! #Salute
3181,3,0,2,1,1,@Eddie_Hayden1 lol yeah bro good choice. But bitches do love foreign whips so it's a personal decision
12821,3,1,2,0,1,Lmao! RT @CapoToHeaven Lmao RT @HeauxmerSimpson: @AtlanticCity you'll never be Vegas. You faggot punk bitch.
24494,3,0,3,0,1,i need some claritin clear in this bitch
7144,3,0,3,0,1,@ryancommakerry I'll actually kill that bitch
1466,6,2,4,0,1,&#8220;@Nelly_Flexin: Y'all bitches switch a roo niggas !!!&#8221;&#128064;&#128064; who the hell
2979,3,1,0,2,2,@CruzanChoklate look at you with yellow fever.
11293,3,1,2,0,1,I wanna be around bitches &amp; have fun &#128556;
743,3,0,1,2,2,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it
19034,3,0,2,1,1,"""RT @balvarezzzz: &#8220;@3phonekibagami: @balvarezzzz why you hurt my feelings&#8221;"
23264,3,0,3,0,1,Where's all my bitches....where did they goooo?
4889,3,0,3,0,1,@SteezHOE this was my nigga in that bitch man!
4695,3,0,3,0,1,@Rock76_ like who let em bring Da heat in dis bitch &#128563;&#128552; .. #linkup bro
24523,6,0,6,0,1,i'd rather sit alone than fuck w/ iffy bitches.
4409,3,1,2,0,1,@NoBeeetch faggot ass fucking snitch
13861,3,0,1,2,2,Offensive line is trash
9907,3,0,3,0,1,Handicap sticker bitch I park where I want.
23069,3,0,0,3,2,What a trash franchise. RT @ArashMarkazi: Fergie will sing the National Anthem at the Clippers season opener tomorrow.
23099,6,1,4,1,1,What the fuck kind of redneck commercial was that???? #indycar
11399,3,0,3,0,1,I won't say how many bitches I fucked but i might say how many 100s I touched &#128178;&#128178;&#128178;
7849,3,0,3,0,1,All these bitches wanna be like Kim K and fuck their way into being rich but it don't work like that. Get a degree &amp; work a desk job you hoe
1101,3,0,3,0,1,&#8220;@305MAYOR: Bad breath ain't cute not even if you a so called bad bitch and it's usually cause by a shitty attitude&#8221; unk ain't ever lied
8407,3,0,3,0,1,"""Brie said """"We were together since before we were born."""" You guys are twins.. duh bitch. Omg who wrote the script?! #BellaTwins"""
3549,3,0,3,0,1,@ILIKECATS74 @yoPapi_chulo @sizzurp__ @brandonernandez @bootyacid you do realize ya pussy stank right?
21880,3,0,3,0,1,That one drunk white bitch that always instigate problems involving at least one.black dude then crys afterwards when someone gets hurt
9274,3,1,2,0,1,Ewh bitch you look like an inbred.
1682,3,0,3,0,1,&#8220;@_Leyahhhh_: No one likes i n d i r e c t ass bitches.&#8221; &#128079;
17491,3,0,3,0,1,RT @RickyScamp: The best way to avoid a tsunami of extramarital pussy is to wear sneakers on your daily commute. Also using the word sneake&#8230;
4670,3,0,3,0,1,@RickyNgan target got them high class hoes
5716,3,3,0,0,0,@austin_farrar your a fucking queer faggot bitch
4988,3,0,3,0,1,@Tamorite @The_Greatest_10 The truth hurts nigguh.
